total time to compute on CPU: 0.060341
total time to compute on GPU: 0.266907
Is the host computation the same as the GPU computation? : True
         182007 function calls (177101 primitive calls) in 3.964 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.146    0.146    3.965    3.965 speedtest.py:1(<module>)
        1    1.861    1.861    2.112    2.112 autoinit.py:1(<module>)
        1    0.906    0.906    0.906    0.906 {method 'random_sample' of 'mtrand.RandomState' objects}
        1    0.001    0.001    0.303    0.303 numeric.py:2355(allclose)
        1    0.059    0.059    0.298    0.298 numeric.py:2431(isclose)
        1    0.000    0.000    0.267    0.267 gpuarray.py:485(__mul__)
        1    0.000    0.000    0.266    0.266 gpuarray.py:351(_axpbz)
        1    0.000    0.000    0.266    0.266 <decorator-gen-8>:1(get_axpbz_kernel)
        1    0.000    0.000    0.266    0.266 tools.py:416(context_dependent_memoize)
        1    0.000    0.000    0.266    0.266 elementwise.py:417(get_axpbz_kernel)
        1    0.000    0.000    0.266    0.266 elementwise.py:155(get_elwise_kernel)
        1    0.000    0.000    0.266    0.266 elementwise.py:126(get_elwise_kernel_and_types)
        1    0.000    0.000    0.265    0.265 elementwise.py:41(get_elwise_module)
        1    0.000    0.000    0.263    0.263 compiler.py:285(__init__)
        1    0.001    0.001    0.263    0.263 compiler.py:190(compile)
        1    0.156    0.156    0.230    0.230 numeric.py:2508(within_tol)
        1    0.000    0.000    0.211    0.211 tools.py:159(make_default_context)
        1    0.211    0.211    0.211    0.211 tools.py:161(ctx_maker)
        1    0.000    0.000    0.141    0.141 compiler.py:69(compile_plain)
        1    0.000    0.000    0.132    0.132 compiler.py:36(preprocess_source)
        2    0.000    0.000    0.132    0.066 prefork.py:226(call_capture_output)
        2    0.000    0.000    0.132    0.066 prefork.py:44(call_capture_output)
        1    0.001    0.001    0.121    0.121 compiler.py:178(_find_pycuda_include_path)
        2    0.000    0.000    0.119    0.059 subprocess.py:452(communicate)
        2    0.000    0.000    0.119    0.059 subprocess.py:1115(_communicate)
        2    0.001    0.000    0.118    0.059 subprocess.py:1148(_communicate_with_poll)
        1    0.002    0.002    0.117    0.117 __init__.py:16(<module>)
      178    0.116    0.001    0.116    0.001 {built-in method poll}
        2    0.115    0.058    0.115    0.058 gpuarray.py:1231(_memcpy_discontig)
      266    0.002    0.000    0.097    0.000 re.py:230(_compile)
      112    0.000    0.000    0.096    0.001 re.py:192(compile)
      103    0.001    0.000    0.094    0.001 sre_compile.py:567(compile)
        1    0.001    0.001    0.092    0.092 __init__.py:106(<module>)
  299/292    0.003    0.000    0.076    0.000 {__import__}
     10/8    0.000    0.000    0.075    0.009 __init__.py:35(load_module)
        5    0.074    0.015    0.074    0.015 {abs}
        1    0.000    0.000    0.073    0.073 gpuarray.py:265(get)
       11    0.010    0.001    0.065    0.006 __init__.py:1(<module>)
      103    0.001    0.000    0.062    0.001 sre_parse.py:725(parse)
  424/103    0.002    0.000    0.061    0.001 sre_parse.py:336(_parse_sub)
  633/108    0.020    0.000    0.060    0.001 sre_parse.py:414(_parse)
        1    0.000    0.000    0.051    0.051 requirements.py:4(<module>)
        1    0.000    0.000    0.043    0.043 gpuarray.py:1047(to_gpu)
        1    0.000    0.000    0.043    0.043 gpuarray.py:230(set)
      103    0.000    0.000    0.031    0.000 sre_compile.py:552(_code)
        1    0.001    0.001    0.028    0.028 tools.py:1(<module>)
        1    0.002    0.002    0.028    0.028 pyparsing.py:75(<module>)
        1    0.001    0.001    0.026    0.026 decorator.py:33(<module>)
       26    0.000    0.000    0.025    0.001 pyparsing.py:2779(__init__)
    13618    0.007    0.000    0.025    0.000 sre_parse.py:213(get)
        1    0.001    0.001    0.024    0.024 inspect.py:25(<module>)
 1247/103    0.010    0.000    0.024    0.000 sre_compile.py:64(_compile)
        1    0.001    0.001    0.023    0.023 gpuarray.py:1(<module>)
      120    0.000    0.000    0.020    0.000 {map}
    14926    0.017    0.000    0.019    0.000 sre_parse.py:194(__next)
        1    0.000    0.000    0.019    0.019 tokenize.py:23(<module>)
        1    0.003    0.003    0.018    0.018 numeric.py:1(<module>)
        1    0.000    0.000    0.017    0.017 specifiers.py:4(<module>)
        1    0.000    0.000    0.017    0.017 parser.py:5(<module>)
        1    0.000    0.000    0.016    0.016 feedparser.py:20(<module>)
        2    0.000    0.000    0.015    0.007 __init__.py:3234(_call_aside)
        1    0.000    0.000    0.015    0.015 __init__.py:3251(_initialize_master_working_set)
        1    0.000    0.000    0.015    0.015 message.py:5(<module>)
        1    0.000    0.000    0.014    0.014 specifiers.py:275(Specifier)
       18    0.000    0.000    0.014    0.001 __init__.py:611(add_entry)
        1    0.001    0.001    0.014    0.014 _internal.py:6(<module>)
        1    0.000    0.000    0.014    0.014 charset.py:6(<module>)
        3    0.000    0.000    0.014    0.005 fromnumeric.py:2171(all)
        3    0.000    0.000    0.014    0.005 fromnumeric.py:69(_wrapreduction)
        3    0.013    0.004    0.013    0.004 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.013    0.013 pyparsing.py:5399(pyparsing_common)
        1    0.000    0.000    0.013    0.013 base64mime.py:25(<module>)
       42    0.000    0.000    0.013    0.000 __init__.py:2037(find_on_path)
        1    0.002    0.002    0.013    0.013 utils.py:5(<module>)
        1    0.001    0.001    0.013    0.013 __init__.py:7(<module>)
        1    0.005    0.005    0.013    0.013 gpuarray.py:29(_create_vector_types)
        1    0.011    0.011    0.012    0.012 driver.py:1(<module>)
       17    0.009    0.001    0.012    0.001 collections.py:305(namedtuple)
        2    0.000    0.000    0.011    0.005 subprocess.py:334(__init__)
        2    0.000    0.000    0.010    0.005 subprocess.py:900(_execute_child)
        1    0.001    0.001    0.010    0.010 financial.py:12(<module>)
        1    0.000    0.000    0.009    0.009 multiarray.py:7(<module>)
        1    0.006    0.006    0.009    0.009 overrides.py:1(<module>)
        1    0.000    0.000    0.009    0.009 platform.py:10(<module>)
        1    0.001    0.001    0.008    0.008 decimal.py:116(<module>)
        1    0.001    0.001    0.008    0.008 elementwise.py:1(<module>)
     5298    0.006    0.000    0.008    0.000 sre_parse.py:142(__getitem__)
      471    0.001    0.000    0.008    0.000 pyparsing.py:1167(copy)
        1    0.000    0.000    0.008    0.008 __init__.py:569(_build_master)
        1    0.000    0.000    0.008    0.008 __init__.py:556(__init__)
      470    0.001    0.000    0.008    0.000 sre_compile.py:228(_compile_charset)
       12    0.000    0.000    0.008    0.001 pyparsing.py:4251(__init__)
    36/11    0.000    0.000    0.007    0.001 pyparsing.py:3743(leaveWhitespace)
      103    0.001    0.000    0.007    0.000 sre_compile.py:433(_compile_info)
        3    0.000    0.000    0.007    0.002 __init__.py:532(_deco)
        2    0.002    0.001    0.007    0.004 __init__.py:45(<module>)
        1    0.000    0.000    0.007    0.007 <decorator-gen-32>:1(get_nvcc_version)
      471    0.001    0.000    0.007    0.000 copy.py:66(copy)
      178    0.007    0.000    0.007    0.000 {posix.read}
        1    0.000    0.000    0.007    0.007 compiler.py:13(get_nvcc_version)
       56    0.001    0.000    0.006    0.000 dtypes.py:44(get_or_register_dtype)
        1    0.000    0.000    0.006    0.006 utils.py:4(<module>)
        1    0.002    0.002    0.006    0.006 __init__.py:41(<module>)
       16    0.000    0.000    0.006    0.000 {sorted}
       14    0.000    0.000    0.006    0.000 __init__.py:2011(_by_version_descending)
 1766/638    0.005    0.000    0.006    0.000 sre_parse.py:152(getwidth)
   131/65    0.000    0.000    0.006    0.000 pyparsing.py:3363(copy)
        1    0.001    0.001    0.006    0.006 urllib.py:23(<module>)
      470    0.004    0.000    0.006    0.000 sre_compile.py:256(_optimize_charset)
    61/11    0.000    0.000    0.006    0.001 pyparsing.py:3288(leaveWhitespace)
        4    0.000    0.000    0.006    0.001 subprocess.py:122(_eintr_retry_call)
        1    0.000    0.000    0.006    0.006 version.py:4(<module>)
        1    0.001    0.001    0.006    0.006 tempfile.py:18(<module>)
       35    0.000    0.000    0.005    0.000 decorator.py:196(create)
       56    0.000    0.000    0.005    0.000 __init__.py:2124(distributions_from_metadata)
      107    0.000    0.000    0.005    0.000 _dtype.py:46(__str__)
       30    0.000    0.000    0.005    0.000 decorator.py:224(decorate)
        1    0.001    0.001    0.005    0.005 index_tricks.py:1(<module>)
        1    0.001    0.001    0.005    0.005 random.py:40(<module>)
        3    0.000    0.000    0.005    0.002 pyparsing.py:1608(parseString)
       80    0.000    0.000    0.005    0.000 _dtype.py:294(_struct_str)
        1    0.001    0.001    0.005    0.005 npyio.py:1(<module>)
       27    0.000    0.000    0.005    0.000 <decorator-gen-1>:1(context_dependent_memoize)
40113/39449    0.004    0.000    0.005    0.000 {len}
        1    0.000    0.000    0.004    0.004 version.py:191(Version)
       12    0.000    0.000    0.004    0.000 pyparsing.py:2653(__init__)
        1    0.002    0.002    0.004    0.004 __init__.py:15(<module>)
        2    0.004    0.002    0.004    0.002 {posix.fork}
       80    0.001    0.000    0.004    0.000 _dtype.py:268(_struct_list_str)
10578/10577    0.004    0.000    0.004    0.000 {isinstance}
       28    0.000    0.000    0.004    0.000 __init__.py:2578(from_location)
        1    0.001    0.001    0.004    0.004 core.py:21(<module>)
      471    0.002    0.000    0.004    0.000 copy.py:306(_reconstruct)
  635/631    0.001    0.000    0.004    0.000 {method 'join' of 'str' objects}
        6    0.000    0.000    0.004    0.001 {method 'decode' of 'str' objects}
        6    0.000    0.000    0.004    0.001 utf_8.py:15(decode)
       10    0.004    0.000    0.004    0.000 {_codecs.utf_8_decode}
     4257    0.002    0.000    0.003    0.000 sre_parse.py:207(match)
        1    0.000    0.000    0.003    0.003 __init__.py:3146(parse)
        2    0.000    0.000    0.003    0.002 __init__.py:3075(parse_requirements)
        1    0.000    0.000    0.003    0.003 __init__.py:3098(__init__)
        1    0.000    0.000    0.003    0.003 requirements.py:88(__init__)
       35    0.001    0.000    0.003    0.000 decorator.py:162(make)
    111/5    0.001    0.000    0.003    0.001 pyparsing.py:3319(streamline)
       42    0.001    0.000    0.003    0.000 __init__.py:2055(<genexpr>)
      192    0.000    0.000    0.003    0.000 _dtype.py:80(_construction_repr)
        1    0.003    0.003    0.003    0.003 socket.py:45(<module>)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
      192    0.001    0.000    0.003    0.000 _dtype.py:115(_scalar_str)
        1    0.003    0.003    0.003    0.003 hashlib.py:56(<module>)
        1    0.000    0.000    0.003    0.003 tempfile.py:280(mkstemp)
        1    0.001    0.001    0.003    0.003 numerictypes.py:81(<module>)
        1    0.000    0.000    0.003    0.003 urlparse.py:29(<module>)
  773/247    0.001    0.000    0.003    0.000 pyparsing.py:154(_ustr)
       25    0.000    0.000    0.003    0.000 abc.py:86(__new__)
    54/10    0.000    0.000    0.003    0.000 pyparsing.py:3762(streamline)
        2    0.001    0.001    0.003    0.001 __init__.py:4(<module>)
      272    0.001    0.000    0.002    0.000 function_base.py:438(add_newdoc)
       28    0.000    0.000    0.002    0.000 __init__.py:2026(_by_version)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4904(makeHTMLTags)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4875(_makeTags)
    17034    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.002    0.002 __init__.py:3(<module>)
       12    0.000    0.000    0.002    0.000 __init__.py:2982(_reload_version)
       93    0.000    0.000    0.002    0.000 version.py:24(parse)
      131    0.001    0.000    0.002    0.000 version.py:198(__init__)
       12    0.000    0.000    0.002    0.000 __init__.py:2770(_get_version)
        1    0.000    0.000    0.002    0.002 tempfile.py:268(gettempdir)
       12    0.000    0.000    0.002    0.000 __init__.py:2548(_version_from_file)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
       42    0.002    0.000    0.002    0.000 {eval}
        1    0.000    0.000    0.002    0.002 tempfile.py:176(_get_default_tempdir)
     1228    0.001    0.000    0.002    0.000 __init__.py:2069(dist_factory)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1250(setParseAction)
        1    0.000    0.000    0.002    0.002 defmatrix.py:1(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:86(<module>)
       27    0.000    0.000    0.002    0.000 pyparsing.py:1039(_trim_arity)
       35    0.002    0.000    0.002    0.000 {compile}
        3    0.000    0.000    0.002    0.001 random.py:91(__init__)
        3    0.000    0.000    0.002    0.001 random.py:100(seed)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
        1    0.000    0.000    0.002    0.002 _datasource.py:35(<module>)
       26    0.000    0.000    0.002    0.000 traceback.py:281(extract_stack)
       83    0.000    0.000    0.002    0.000 pyparsing.py:1821(__add__)
    141/3    0.001    0.000    0.002    0.001 pyparsing.py:1370(_parseNoCache)
        1    0.001    0.001    0.002    0.002 subprocess.py:31(<module>)
     20/3    0.000    0.000    0.002    0.001 pyparsing.py:3397(parseImpl)
       62    0.000    0.000    0.002    0.000 __init__.py:2765(_get_metadata)
